store_code,store_name,city,state,region_name,open_date,close_date,square_feet
s00373,Store 373, Chicago ,IL, Midwest ,2017-08-02,,1200.0
 00374 ,STORE 374,MINNEAPOLIS,MN,midwest,2017-03-11,,4500.0
 S00375 , Store 375 ,miami,FL,south,2022-08-26,,6000.0
S00376,Store 376,NAPERVILLE,IL,midwest,11/26/2016,02/26/2018,1800.0
S00377,Store 377,Phoenix, AZ ,WEST,15-Dec-2017,,1800.0
S-378,Store 378,NEW HAVEN, CT ,Northeast,19-Jan-2022,,1800.0
S-379,Store 379,Rochester,ny, Northeast ,01/31/2020,,1200.0
store-00380,Store 380,New York,NY,NORTHEAST,02/02/2024,,1800.0
 S-381 ,Store 381,naperville,IL,Midwest,2022/07/24,,1800.0
s-382, Store 382 ,HARTFORD,CT,Northeast,02/23/2019,,4500.0
00383,Store 383,SPRINGFIELD,MA,NORTHEAST,2021/06/26,,1800.0
S00384,Store 384,minneapolis,mn,Midwest,2020-09-07,,1800.0
00385, Store 385 ,boston,MA,Northeast,2017-06-27,,3000.0
S00386, Store 386 ,Spokane,WA,west region,2023/01/11,,4500.0
s00387,Store 387,BOLINGBROOK, IL ,midwest,2019-10-07,,1800.0
STORE-00388, Store 388 ,stamford,CT,Northeast,04/18/2018,,1800.0
S00389,store 389,knoxville,TN,south,2020/09/28,,2200.0
00390,Store 390, Jersey City ,NJ,northeast,12/23/2016,,6000.0
S-391, Store 391 , Las Vegas , NV ,West,2021/04/25,,2200.0
s-392,Store 392,Durham,NC,SOUTH,2023/06/20,,1200.0
 STORE-00393 , Store 393 ,Charlotte,NC, South ,2022-12-08,,2200.0
S00394,Store 394, Salem ,or,west,2018-01-25,,3000.0
STORE-00395,STORE 395,Madison,WI,Midwest,10/01/2017,21-Jan-2021,2200.0
 STORE-00396 ,Store 396,LOS ANGELES,CA,West,08/09/2023,,1800.0
S-397,Store 397,Miami,FL,South,2016-12-08,,2200.0
STORE-00398,store 398,Salem,OR,West,07-Mar-2020,12-May-2022,2200.0
00399,store 399,Phoenix,AZ,West Region,02-Aug-2022,,3000.0
 00400 ,Store 400,CHARLOTTE,nc,SOUTH,2022/03/26,,6000.0
 S-401 ,Store 401,NEW YORK, NY ,Northeast,2018-12-11,,2200.0
S-402,Store 402,stamford,CT,northeast,2020-01-21,,1800.0
 00403 ,STORE 403,Grand Rapids,MI,MIDWEST REGION,2023-10-10,,6000.0
STORE-00404,Store 404,HARTFORD,CT, Northeast ,2022/02/05,,1200.0
 00405 , Store 405 ,SAVANNAH, GA ,South,2020-08-14,,1200.0
 STORE-00406 ,store 406,Naperville,il, Midwest ,2019/11/27,,1200.0
s00407,Store 407, Cleveland , OH ,midwest,05/28/2017,,6000.0
STORE-00408,Store 408,Boston,MA,Northeast,11/02/2018,,1200.0
00409, Store 409 ,Memphis,TN,South,2019/12/13,,
00410,Store 410, Paterson ,NJ,NORTHEAST,12/08/2023,,2200.0
STORE-00411, Store 411 ,HARTFORD, CT ,Northeast,2021/07/23,,3000.0
S-412,STORE 412, Salem ,OR,WEST,2018-02-12,,3000.0
STORE-00413,Store 413,newark,NJ,northeast,2020/01/29,,6000.0
s-414, Store 414 ,durham, NC ,SOUTH,10/06/2022,,6000.0
S-415,STORE 415,SPRINGFIELD,MA,Northeast,19-Apr-2016,,1800.0
S00416, Store 416 ,mesa,AZ,WEST,07-Dec-2018,,1200.0
s-417, Store 417 ,Orlando,FL,South,30-Oct-2020,,1800.0
STORE-00418,STORE 418, Salem ,OR,WEST,2022-08-17,,6000.0
S00419,STORE 419,Worcester,MA, Northeast ,2020/01/03,,
S-420,Store 420,Dallas,TX,SOUTH,2023-05-18,,1200.0
 STORE-00421 ,STORE 421,Grand Rapids,MI,Midwest,2021-08-21,,4500.0
00422,Store 422,Dallas,TX,SOUTH,07-Jun-2022,,2200.0
STORE-00423,store 423,Memphis,tn, South ,2020-11-08,,4500.0
S-424,Store 424, Tacoma ,WA,WEST,2021/03/29,,3000.0
00425,Store 425,jersey city, NJ ,NORTHEAST,2018/12/29,,4500.0
S00426,Store 426,Los Angeles, CA ,West,14-Oct-2017,,1200.0
S-427,Store 427,Allentown,PA,Northeast,05/05/2019,,6000.0
store-00428, Store 428 ,Stamford,CT,Northeast,05-Jul-2022,,6000.0
store-00429,STORE 429,Seattle,wa,West,2017/03/13,,3000.0
 STORE-00430 ,Store 430,Orlando,FL,South,04/30/2021,,3000.0
 S-431 ,Store 431,Austin,TX,South,08/26/2018,,1800.0
s-432,store 432,Charlotte,NC,South,01/27/2019,,4500.0
S-433,Store 433,Henderson, NV ,West,2022-02-21,,6000.0
00434,Store 434,New York,NY,Northeast,2018/10/19,,4500.0
S-435,Store 435,Miami,FL,South,08/24/2020,,3000.0
 STORE-00436 ,Store 436, Naperville ,IL,midwest region,06-Dec-2022,,3000.0
 S-437 ,Store 437,Cleveland,OH,Midwest,25-Mar-2019,,1800.0
STORE-00438,Store 438, Tampa ,fl,South,21-Jan-2021,,6000.0
 S00439 ,Store 439,reno,NV,West,2016-10-26,,4500.0
S00440,STORE 440,durham,NC, South ,2020/02/28,,3000.0
STORE-00441,Store 441,PHILADELPHIA,PA,Northeast,2017/06/07,,3000.0
 S-442 , Store 442 ,CHARLOTTE, NC ,South,26-Mar-2022,,3000.0
 00443 , Store 443 ,Memphis, TN ,south,2021/02/17,,6000.0
S00444,store 444, Stamford ,CT,Northeast,2018-01-09,,4500.0
s-445,Store 445,Philadelphia, PA ,Northeast,28-Apr-2016,,6000.0
S00446,store 446,Columbus, OH ,MIDWEST,21-Mar-2023,,1800.0
store-00447,store 447,Eugene,OR, West ,2023-05-03,,4500.0
 S-448 ,store 448,TUCSON, AZ , West ,2019/01/04,,6000.0
S00449,store 449,Green Bay,wi, Midwest ,2023/01/22,,4500.0
s-450,store 450,Hartford,CT,Northeast,2016-07-03,,6000.0
STORE-00451,Store 451,Milwaukee,wi,MIDWEST,12/07/2016,,1200.0
 S00452 ,Store 452,dallas,tx,South,28-Dec-2021,2024/06/13,4500.0
 S00453 ,Store 453,Raleigh, NC ,south region,12/24/2016,,3000.0
 S-454 , Store 454 , Naperville ,IL,midwest,13-Mar-2021,,1800.0
S-455,Store 455,San Diego,CA,WEST,02-Feb-2016,,4500.0
S-456,Store 456,TACOMA,WA, West ,2016/09/05,,3000.0
00457,Store 457,Orlando,FL,south,2019/11/09,,3000.0
S00458, Store 458 , Charlotte ,NC,south,22-Dec-2022,,1800.0
00459,Store 459, Pittsburgh , PA ,Northeast,2020-01-02,,3000.0
00460,Store 460,Atlanta, GA ,South Region,31-Mar-2022,,1200.0
S00461,Store 461, Hartford ,CT,northeast,2021-09-08,,2200.0
S00462,Store 462,CHICAGO,il,MIDWEST,03-Dec-2020,,6000.0
S-463,Store 463,seattle,WA,west,2020-10-22,,4500.0
00464,STORE 464, Pittsburgh ,PA,Northeast,2020/07/03,,6000.0
00465,store 465,SAVANNAH,ga,South,2016/02/02,,6000.0
S-466,Store 466, Detroit ,MI, Midwest ,2016/05/31,,6000.0
STORE-00467,Store 467, Stamford , CT ,Northeast,2018/11/25,,6000.0
00468,Store 468,Eugene,OR,west,01/22/2016,,2200.0
00469,STORE 469, Green Bay ,WI, Midwest ,2018-10-11,,1800.0
S-470,Store 470,San Diego,CA,West,04-Aug-2023,,1800.0
S00471,store 471, Phoenix , AZ ,West,2023-11-25,,3000.0
S00472,Store 472,MEMPHIS,tn, South ,13-Jun-2016,,2200.0
 STORE-00473 , Store 473 ,cincinnati,OH,MIDWEST,25-Jun-2021,18-Oct-2024,6000.0
S-474, Store 474 ,Cincinnati, OH ,Midwest,19-Feb-2023,,3000.0
00475,Store 475,Springfield,MA, Northeast ,2019-02-10,,4500.0
 S00476 ,Store 476, Stamford , CT ,NORTHEAST,14-Feb-2018,,4500.0
S00477, Store 477 , Las Vegas ,nv, West ,2021-07-06,,2200.0
 00478 ,Store 478, Houston ,TX, South ,06/10/2019,,2200.0
00479,Store 479,NEW YORK, NY ,northeast region,08-Sep-2018,,1200.0
S00480,Store 480,Naperville,IL, Midwest ,03/19/2022,,1800.0
 S-481 ,Store 481,Cincinnati,OH, Midwest ,2020-10-01,,3000.0
 STORE-00482 ,Store 482,Raleigh,NC, South ,02/02/2023,,2200.0
STORE-00483,Store 483,Rochester,MN,MIDWEST,07/27/2019,,4500.0
00484,Store 484,Bolingbrook,IL,Midwest,2021-05-05,2021-08-22,6000.0
00485,Store 485,Pittsburgh, PA , Northeast ,2022-09-28,,1200.0
00486,store 486,MIAMI,FL,South,11/17/2022,,6000.0
00487,Store 487,Knoxville,TN, South Region ,2021-07-16,,4500.0
STORE-00488,Store 488, Tampa ,fl,South,2016/04/04,,3000.0
 00489 ,Store 489,tucson,AZ,WEST,2021-10-19,,1800.0
 STORE-00490 ,Store 490, Los Angeles ,ca,West Region,2018/03/17,,1800.0
00491,Store 491,Detroit,MI,Midwest,2019-09-28,,1200.0
 S-492 ,Store 492,Newark,NJ, Northeast ,15-Dec-2020,,4500.0
S00493,Store 493,Worcester,ma, Northeast ,2021-03-16,,6000.0
store-00494,Store 494,minneapolis,MN, Midwest ,2023/02/23,,4500.0
00495,Store 495,AUGUSTA,GA,South,01/25/2022,,4500.0
00496,STORE 496,Worcester,MA,Northeast,2018/03/11,,4500.0
s00497,Store 497,Raleigh,NC,SOUTH,26-Oct-2017,,2200.0
S00498, Store 498 , Spokane , WA , West ,2018/01/24,,1200.0
STORE-00499,STORE 499, Miami , FL , South ,12/09/2018,,1200.0
STORE-00500,Store 500,Grand Rapids,MI,Midwest,2018-09-10,,1800.0
S-501,STORE 501, St. Paul ,MN,midwest,10/15/2023,,1200.0
00502,Store 502,Tampa,FL,SOUTH,2022/07/20,,3000.0
s-503,Store 503,Knoxville,TN,SOUTH,06/02/2021,,1800.0
STORE-00504, Store 504 ,Raleigh,NC,SOUTH,2022-05-29,,4500.0
S-505,STORE 505, Tucson ,AZ,WEST,2020-08-02,,4500.0
 STORE-00506 ,STORE 506, Philadelphia ,PA,Northeast,2017/02/07,,4500.0
S-507,Store 507,Dallas, TX ,South,02/28/2019,,1800.0
S-508,store 508,Milwaukee,WI,Midwest,13-Oct-2021,,3000.0
STORE-00509, Store 509 ,Philadelphia,PA,northeast,23-Jun-2022,,6000.0
 00510 ,Store 510,NASHVILLE,TN,South,13-May-2022,,1800.0
STORE-00511,store 511,New Haven, CT ,Northeast,2018-02-10,,4500.0
00512,store 512,columbus,OH,MIDWEST REGION,29-Apr-2020,,1200.0
 00513 ,STORE 513,mesa,AZ,West,2016/10/08,,4500.0
 S-514 ,STORE 514,Portland,or,West,31-Jan-2016,,1200.0
STORE-00515,Store 515,Raleigh,nc,South,08-Nov-2023,,6000.0
00516,Store 516,SPRINGFIELD,MA,Northeast,06/27/2016,,3000.0
store-00517, Store 517 ,PHILADELPHIA, PA ,Northeast Region,06-Mar-2017,,6000.0
00518,Store 518,milwaukee, WI ,MIDWEST,13-Feb-2016,,2200.0
s00519,STORE 519, Bolingbrook ,IL, Midwest ,2017/02/15,,6000.0
S00520,STORE 520, Green Bay , WI ,Midwest,07/14/2016,,1800.0
00521, Store 521 ,Boston, MA ,Northeast,02/29/2016,,4500.0
00522,STORE 522,augusta,GA,SOUTH,2023-01-11,,
STORE-00523,STORE 523, Milwaukee ,WI,Midwest,2016-09-27,,4500.0
00524,Store 524,New Haven,CT,northeast,2023/01/28,,4500.0
 00525 ,Store 525, Rochester ,MN,MIDWEST,2023-11-26,,2200.0
00526,Store 526,Cleveland,OH,MIDWEST,2018-04-17,,3000.0
00527,Store 527,Houston,TX,South,18-Sep-2019,,1800.0
S00528, Store 528 ,BUFFALO, NY ,Northeast,10/13/2016,,1200.0
 S-529 ,STORE 529,PORTLAND,or,WEST,03-Feb-2024,,2200.0
S-530,Store 530,Madison, WI ,Midwest,2020/09/27,,1800.0
STORE-00531,Store 531, Grand Rapids , MI , Midwest ,03/14/2021,,4500.0
STORE-00532,STORE 532,Raleigh, NC ,South,2020-08-30,,4500.0
S-533,STORE 533, Eugene ,OR,WEST,28-Nov-2019,,2200.0
00534,Store 534,Jersey City,NJ,Northeast Region,15-Oct-2022,,4500.0
S-535,STORE 535,Hartford,CT,NORTHEAST,28-Sep-2020,,6000.0
00536,STORE 536,NEW HAVEN,CT, Northeast ,2017-08-07,,3000.0
 00537 , Store 537 ,Charlotte,nc, South ,2017-12-23,,1800.0
 00538 , Store 538 , Mesa , AZ ,WEST REGION,01-Jan-2023,,
 S00539 ,store 539, Austin ,TX,South,13-Jul-2022,,2200.0
00540,Store 540,AUGUSTA, GA ,SOUTH,2019-11-06,,6000.0
STORE-00541,Store 541,BOLINGBROOK,il,Midwest,18-May-2017,,1200.0
STORE-00542,STORE 542,austin,TX,SOUTH,15-Jan-2020,,6000.0
 S00543 ,Store 543,EUGENE,OR,West,03/10/2018,,1200.0
 S00544 ,Store 544, Columbus ,OH,MIDWEST,2017/11/29,,2200.0
S00545,STORE 545,PATERSON,NJ, Northeast ,2023/02/08,,6000.0
S00546, Store 546 ,RENO,NV,West,2018/08/13,,2200.0
S-547,STORE 547,PHILADELPHIA,PA,northeast,08/13/2022,,1200.0
S-548, Store 548 ,PORTLAND,OR,West,2019-04-30,,2200.0
00549,Store 549,ALLENTOWN,PA,Northeast,06/08/2022,,1800.0
00550,store 550,JERSEY CITY,NJ,Northeast,27-Feb-2024,,6000.0
S00551,Store 551,st. paul, MN ,Midwest,2017/02/02,,1800.0
S00552,Store 552, Naperville ,IL,Midwest,2024-02-21,,3000.0
S-553,Store 553,rochester, NY ,northeast,04/16/2023,,3000.0
S-554, Store 554 , Springfield ,ma,northeast,2020-04-14,,4500.0
S-555, Store 555 ,HARTFORD,CT,northeast,21-Apr-2020,,1200.0
S00556,STORE 556,San Jose, CA ,West,2022-07-23,,2200.0
STORE-00557, Store 557 ,Minneapolis,mn,midwest,27-Apr-2023,,
 S-558 ,store 558,AUSTIN,TX,South,04/16/2019,,6000.0
00559,Store 559,CHICAGO,IL,Midwest,2017-08-03,,2200.0
S-560, Store 560 ,MADISON,WI,Midwest,12/07/2016,,4500.0
S-561,Store 561,MILWAUKEE,WI,Midwest,19-Jul-2019,,6000.0
S00562,Store 562,ATLANTA, GA , South ,2018/07/13,,3000.0
S00563, Store 563 ,Memphis,TN,South,09-Mar-2022,,1800.0
 STORE-00564 ,Store 564,Columbus,OH,Midwest,31-Mar-2020,,2200.0
00565,Store 565,Savannah,ga, South ,2021-11-02,,1800.0
S-566, Store 566 ,Minneapolis,MN, Midwest ,12-Dec-2016,,6000.0
S00567,Store 567,Boston,MA,Northeast,2022-11-29,,1800.0
STORE-00568,store 568,COLUMBUS,OH,Midwest,02/12/2020,,1200.0
S-569,STORE 569,Salem,OR, West ,22-May-2018,04-Mar-2022,1200.0
STORE-00570, Store 570 ,SALEM, OR , West ,12/20/2019,,
store-00571, Store 571 ,Orlando, FL ,South,06/07/2020,,6000.0
00572,Store 572,Miami, FL ,south,2018/02/15,,3000.0
 S-573 ,Store 573,Grand Rapids, MI , Midwest ,08/17/2021,,2200.0
S00574,STORE 574, Worcester ,ma,Northeast,2019/03/31,,1800.0
S00575,store 575, Spokane ,WA,West,12/03/2023,,3000.0
S00576,STORE 576,cleveland,OH,MIDWEST,13-Mar-2016,,4500.0
STORE-00577,STORE 577,Philadelphia, PA ,Northeast Region,2019/01/07,,3000.0
STORE-00578, Store 578 ,Boston,MA, Northeast ,2018/10/30,,2200.0
 S-579 , Store 579 ,Tampa,FL,South Region,02/04/2019,,3000.0
S-580,STORE 580,Stamford, CT ,Northeast,2019/11/05,,4500.0
 S-581 ,store 581,Durham,nc,South Region,01/17/2024,,4500.0
 S00582 ,Store 582,MADISON,WI,MIDWEST,09/05/2023,,4500.0
STORE-00583,STORE 583,New Haven,CT, Northeast ,08/25/2021,,6000.0
00584,STORE 584, Orlando ,FL,South,2016/07/30,,6000.0
S00585, Store 585 ,ORLANDO,FL,SOUTH,2022-11-09,,4500.0
00586,STORE 586,EUGENE,OR,West,02/11/2023,,6000.0
 S-587 ,Store 587, Orlando ,fl,South,2017-01-18,,1800.0
S-588,Store 588, Chicago ,il,Midwest,2016-10-22,,1200.0
 STORE-00589 ,Store 589, New York ,NY, Northeast ,2018/10/14,,1200.0
 S-590 , Store 590 ,Reno,NV,West,2017-10-30,,1200.0
 S-591 ,Store 591,SEATTLE,WA,West,2018-07-07,25-Feb-2021,1800.0
 STORE-00592 ,Store 592,Naperville,IL, Midwest ,2020/01/03,,6000.0
STORE-00593,Store 593,Memphis,TN, South ,2019-11-27,,1800.0
S-594, Store 594 ,detroit,MI,MIDWEST,05/18/2020,,3000.0
 STORE-00595 ,Store 595,Tucson,AZ,west,11-Oct-2023,,1800.0
00596,STORE 596, Henderson ,NV,West Region,10/11/2023,,1200.0
S-597,Store 597, Orlando , FL ,South,28-Feb-2021,,6000.0
s00598,Store 598, Austin , TX ,SOUTH,2017-03-10,,3000.0
store-00599,Store 599,green bay,WI, Midwest Region ,2017-07-27,,1200.0
S-600,Store 600,Minneapolis,MN,midwest,02/14/2016,,1800.0
S-601,STORE 601, New Haven ,CT,Northeast,27-May-2017,,6000.0
00602, Store 602 ,SEATTLE,WA,WEST,03/01/2020,,1200.0
S00603, Store 603 ,Philadelphia, PA ,northeast,2022-03-09,,
S-604,Store 604,Savannah, GA ,South,2021-08-10,,1800.0
00605, Store 605 ,Mesa,AZ,WEST,06/02/2016,,1800.0
 S-606 ,Store 606,Charlotte,NC,South,10/20/2019,,3000.0
s00607,store 607, Jersey City ,NJ,Northeast Region,2022/02/19,,1800.0
S-608, Store 608 , Salem ,OR,West Region,14-Nov-2018,,4500.0
STORE-00609,Store 609,madison,WI,Midwest,2021-09-30,,1800.0
S-610,STORE 610,Newark,NJ,northeast,05-Apr-2019,,1800.0
STORE-00611,Store 611,PHOENIX,AZ,west,07/02/2020,,1800.0
S00612,STORE 612,nashville,tn,South Region,28-Sep-2022,,6000.0
S-613,store 613,Naperville,IL, Midwest ,17-Jul-2020,,2200.0
00614,store 614,Raleigh,NC,South,05/01/2021,,6000.0
00615,STORE 615,Ann Arbor,MI,Midwest,20-Jul-2019,05/14/2022,6000.0
00616,STORE 616,NEW YORK, NY ,Northeast,2018/02/07,,1200.0
s-617,STORE 617,Nashville,tn,SOUTH,11/04/2023,,2200.0
S-618,Store 618,St. Paul,MN, Midwest ,2020-04-11,,1200.0
S00619,store 619,San Diego,CA,WEST,30-Dec-2022,,1200.0
 S-620 ,STORE 620,SAN DIEGO,CA,WEST,15-Mar-2021,,1200.0
STORE-00621,store 621,Los Angeles,CA,West,17-Apr-2016,,3000.0
S-622, Store 622 ,San Jose,ca, West ,10/23/2020,,6000.0
 00623 , Store 623 , Eugene ,OR,West,2017-10-13,,1200.0
00624,Store 624,GREEN BAY,wi,Midwest,30-Jan-2023,,6000.0
 S00625 ,Store 625, Paterson , NJ , Northeast ,2016-04-04,,2200.0
 S-626 ,Store 626, Milwaukee ,WI,MIDWEST,04-Jul-2021,,1800.0
S00627,Store 627,rochester,MN, Midwest ,2022/10/20,,1800.0
 STORE-00628 ,STORE 628,STAMFORD,CT,Northeast,2017/09/16,,1800.0
s-629,Store 629,Knoxville,TN,South,2019/04/20,,1200.0
s-630,Store 630,Miami,FL,south,2024/02/05,,6000.0
S-631,Store 631,Seattle,WA, West ,09/25/2021,,3000.0
 STORE-00632 ,STORE 632, Miami ,FL,SOUTH,2018/05/31,,4500.0
STORE-00633,Store 633,Nashville,TN,South,29-Nov-2021,,2200.0
 S-634 ,store 634,Worcester,MA, Northeast ,2016-07-10,,4500.0
S00635, Store 635 ,portland,OR,WEST,2020/07/07,2023/10/02,3000.0
s-636,Store 636,Durham,NC, South ,07/11/2016,,1200.0
STORE-00637,store 637, Charlotte ,NC,South Region,2017-11-28,,2200.0
00638, Store 638 ,MEMPHIS, TN ,South,10-Jan-2019,,6000.0
STORE-00639,Store 639,ST. PAUL,MN, Midwest ,06/01/2023,,6000.0
00640,STORE 640,buffalo,NY,Northeast,2016/09/03,,2200.0
STORE-00641,store 641,Minneapolis,MN, Midwest ,16-Jun-2017,,2200.0
 00642 ,store 642,JERSEY CITY,nj,NORTHEAST,2017-03-14,,1200.0
 STORE-00643 ,STORE 643, Cleveland ,OH,midwest,2021/08/18,,1800.0
00644,STORE 644, Reno , NV , West ,2017-03-23,,4500.0
store-00645, Store 645 ,TUCSON,AZ,WEST,2017-02-18,,4500.0
 S00646 ,STORE 646,eugene,OR,west,2018-09-04,,2200.0
s00647,STORE 647, Bolingbrook ,IL,Midwest,12/13/2019,,1800.0
STORE-00648,STORE 648,buffalo,NY,NORTHEAST REGION,2019/10/06,,6000.0
 S00649 ,store 649,SAN DIEGO,CA, West ,09-Sep-2023,,6000.0
S-650,Store 650, San Diego ,CA,WEST,11-Jan-2023,,2200.0
s00651,store 651,Stamford,CT,Northeast,14-Nov-2023,,1800.0
00652,STORE 652,St. Paul, MN ,MIDWEST REGION,2022-12-30,,
STORE-00653,store 653,Houston,TX,South,10/26/2018,,1800.0
STORE-00654,Store 654,PHILADELPHIA,PA,Northeast,2016/05/11,,1800.0
 STORE-00655 ,Store 655,NASHVILLE, TN ,South,08/30/2023,,3000.0
S-656,store 656,Eugene,or, West ,07-Sep-2023,,1800.0
 STORE-00657 ,Store 657, Tampa ,FL,South,28-Sep-2021,,1200.0
S-658,Store 658, Allentown ,PA,Northeast,02/02/2017,,4500.0
00659,STORE 659,Seattle, WA ,West,2023-07-30,,1800.0
 S-660 ,store 660,HARTFORD,CT,northeast,10/09/2018,,4500.0
 S00661 ,Store 661,Las Vegas, NV ,west,05-Nov-2020,,2200.0
s00662,Store 662, Eugene ,OR,WEST,2019/02/01,,6000.0
S-663,Store 663,SAN DIEGO,CA,WEST,24-Jul-2017,,1800.0
00664,Store 664,MEMPHIS,TN,South,25-Feb-2021,,4500.0
STORE-00665,Store 665, Tampa , FL ,SOUTH,2019-08-20,,6000.0
S-666,store 666, Columbus ,OH,Midwest,2017-12-13,,2200.0
 S-667 ,Store 667,Jersey City, NJ ,Northeast,03/16/2017,,1800.0
S00668,Store 668,Bolingbrook,IL,midwest,2016-04-09,,6000.0
STORE-00669,Store 669,Seattle,WA,West,2022-05-25,,1800.0
 STORE-00670 ,Store 670,HOUSTON,TX,SOUTH,08/04/2021,,1200.0
s00671,Store 671,Rochester,MN,Midwest,2021-08-10,,2200.0
STORE-00672,Store 672,Newark,NJ,Northeast Region,2022-02-18,,1200.0
 S00673 ,store 673,NEW HAVEN,CT,Northeast,06/14/2017,,1200.0
S00674, Store 674 ,Rochester,MN,midwest,04/02/2020,,1200.0
S00675, Store 675 , Atlanta ,ga,South,2019-11-06,,1200.0
00676,STORE 676,Chicago,IL, Midwest ,20-Aug-2016,,1200.0
STORE-00677,Store 677,allentown,PA,Northeast,04/23/2018,,2200.0
S-678,STORE 678, Buffalo ,NY,Northeast,08/09/2020,,6000.0
S-679, Store 679 ,Chicago,IL,MIDWEST,2023-10-31,,4500.0
00680,Store 680,worcester,MA,Northeast Region,2020-12-23,,2200.0
S-681,Store 681,Nashville,TN,South,2016/04/22,,4500.0
 00682 , Store 682 ,Orlando,FL,SOUTH,2021/03/29,,3000.0
 S00683 ,Store 683,SAVANNAH,GA,south,24-May-2023,,1200.0
S00684,Store 684,LAS VEGAS, NV ,West,2020/07/31,,3000.0
S00685, Store 685 ,cincinnati,oh,Midwest,05/10/2023,,6000.0
S00686,STORE 686, Austin ,tx,SOUTH,2019/12/18,,6000.0
STORE-00687,store 687,Portland,or,West,04/11/2016,,2200.0
STORE-00688,STORE 688,Rochester,NY,Northeast,2018-05-16,,1800.0
S00689,Store 689,henderson,NV,West,05/11/2017,,2200.0
S-690,STORE 690,austin,TX,South,14-Sep-2018,,1800.0
00691,Store 691,MINNEAPOLIS, MN ,midwest,07/27/2020,,6000.0
S-692,Store 692,Cleveland,OH, Midwest ,04-Mar-2016,,1800.0
 STORE-00693 ,Store 693,ROCHESTER,MN,Midwest,2020/05/08,,4500.0
S-694,Store 694,rochester,NY,Northeast,2019-12-24,,1200.0
STORE-00695, Store 695 ,RALEIGH,NC,South,05-Aug-2019,,3000.0
STORE-00696,Store 696, Columbus ,OH,MIDWEST,13-Mar-2024,,1800.0
 00697 ,Store 697,nashville, TN , South ,08/06/2018,,1200.0
00698,STORE 698, Memphis ,TN,south,17-Mar-2024,,1200.0
00699,STORE 699,dallas,TX,south,2016-11-19,,2200.0
 STORE-00700 ,Store 700,Boston,MA,Northeast,11/28/2023,,3000.0
00701,STORE 701, Cleveland ,OH,Midwest,04/09/2021,,1200.0
S-702,STORE 702,COLUMBUS,oh,Midwest,09/08/2020,,6000.0
S00703,Store 703,Reno,NV,west,02/03/2022,,1200.0
00704,store 704,Dallas,tx,SOUTH,2023/10/25,,1800.0
store-00705,Store 705,san jose,CA,west region,08/16/2019,,1200.0
S00706,Store 706,TACOMA,WA,West Region,13-Nov-2017,,6000.0
00707, Store 707 , Nashville ,tn,SOUTH,05/06/2023,,2200.0
s00708,Store 708, Chicago ,IL,Midwest Region,03/23/2016,,6000.0
 S00709 ,Store 709,Phoenix,az,West Region,01/10/2019,,4500.0
S00710,store 710, St. Paul ,MN,MIDWEST,18-Aug-2019,,3000.0
 S-711 ,store 711,EUGENE,OR, West ,12/24/2021,,1200.0
STORE-00712,Store 712,Madison, WI ,Midwest,06-May-2021,,1200.0
S00713,STORE 713,HENDERSON,NV,WEST,09-May-2022,,2200.0
00714,Store 714,reno,NV, West ,2019-07-06,,1200.0
S-715, Store 715 ,Paterson,nj,northeast,05/12/2017,,4500.0
store-00716,Store 716,PHILADELPHIA,PA,northeast,11/18/2020,,6000.0
 00717 ,Store 717,raleigh,NC,south,2018-05-12,,1800.0
S-718, Store 718 ,New Haven,CT, Northeast ,09/17/2019,,3000.0
 00719 , Store 719 ,Augusta,GA, South ,09-Jul-2020,,4500.0
 00720 ,Store 720, Seattle , WA ,WEST,2016-01-11,,3000.0
00721,STORE 721,SALEM,or,west,2021-08-11,,1800.0
STORE-00722,Store 722,orlando,FL,SOUTH REGION,14-Apr-2022,,2200.0
00723,Store 723, Rochester ,MN,Midwest,2018/02/21,,2200.0
S-724,Store 724,New Haven,CT,Northeast Region,2016-05-17,,3000.0
 S00725 , Store 725 ,Phoenix, AZ ,West,04/23/2021,,1200.0
00726,Store 726,PHILADELPHIA,PA,Northeast,02/06/2022,,4500.0
 S00727 ,Store 727,nashville,TN,south,2023/06/14,,6000.0
S00728,Store 728,Naperville,IL, Midwest ,2019-01-26,,1200.0
 S-729 ,Store 729,NEWARK,NJ,Northeast,06/09/2018,,6000.0
00730,store 730,Springfield,MA,Northeast,2019/03/21,,2200.0
S-731,Store 731, Memphis ,TN, South ,11/29/2019,,3000.0
 STORE-00732 ,Store 732,ORLANDO,fl, South Region ,11/05/2023,,3000.0
S00733, Store 733 ,MEMPHIS,TN,south,2023/05/20,,1200.0
s00734,Store 734,Atlanta,GA,south,03/27/2021,,2200.0
00735,Store 735,tucson,az,West,13-Jun-2016,,1800.0
 00736 ,STORE 736,Knoxville,TN,South,2021/11/16,,1800.0
00737,STORE 737, Columbus ,OH,Midwest,2019/05/19,,1800.0
S-738,Store 738,Henderson,NV, West ,06/02/2020,,2200.0
S-739,Store 739, Reno ,NV,WEST,2021/12/27,,1200.0
 00740 ,STORE 740, San Jose ,CA, West ,2018/07/31,,3000.0
s00741, Store 741 ,Seattle, WA ,West,2020-06-19,,1800.0
s-742, Store 742 ,phoenix,AZ,West,14-Jun-2021,,3000.0
S-743, Store 743 , Houston ,TX,SOUTH,02-Oct-2020,,3000.0
STORE-00744,STORE 744,WORCESTER,MA, Northeast ,2020/02/12,,3000.0
